0, 台語諺語與歷史文化, 2, 蔣為文, 72, [1]7~8, 領域通識, 
1, 講台語看語言佮社會, 2, 蔡美慧, 56, [1]7~8, 台語授課，領域通識, 
2, 歷史畫賞鑑, 2, 謝美娥, 49, [2]5~6, 領域通識, 
3, 中國文學導論, 2, 林美惠, 75, [2]3~4, 領域通識, 
4, 短篇小說選讀, 2, 于維杰, 55, [2]5~6, 領域通識, 
5, 先秦兩漢儒家思想, 2, 吳文璋, 100, [2]5~6, 領域通識, 
6, 考古發現與歷史新貌, 2, 涂宗呈, 50, [2]5~6, 領域通識, 
7, 實用中文及寫作, 2, 陳金雄, 121, [2]1~2, 領域通識, 
8, 女性文學選讀, 2, 賴麗娟, 70, [3]3~4, 領域通識, 
9, 先秦兩漢儒家思想, 2, 吳文璋, 70, [3]3~4, 領域通識, 
10, 台灣傳統戲曲賞析, 2, 李欣怡, 49, [3]5~6, 英語授課,104學年度(含)以前入學生為「哲學與藝術」, 
11, 台灣傳統戲曲賞析, 2, 李欣怡, 99, [3]7~8, 英語授課,104學年度(含)以前入學生為「哲學與藝術」, 
12, 人、動物與倫理, 2, 李鑑慧, 60, [3]3~4, 英語授課，領域通識, 
13, 戲劇與小說, 2, 陳佳彬, 220, [3]7~8, 領域通識, 
14, 戲劇賞析, 2, 高美華 林幸慧 秦嘉嫄 楊哲銘 顧　盼 劉南芳 朱芳慧 陳佳彬 李欣怡, 144, [3]3~4, 領域通識, 
15, 古蹟與文化, 2, 何培夫, 99, [3]3~4, 領域通識, 
16, 流行樂賞析與實務, 2, 楊金峯, 49, [4]3~4, 為MOOCS磨課師課程,104學年度(含)以前入學生為「哲學與藝術」, 
17, 劇場表演與創意, 2, 李欣怡, 55, [4]5~6, 領域通識, 
18, 短篇小說選讀, 2, 于維杰, 70, [4]5~6, 領域通識, 
19, 劇場表演與創意, 2, 李欣怡, 55, [4]7~8, 領域通識, 
20, 客家文化導論, 2, 林裕城, 90, [4]3~4, 領域通識, 
21, 臺灣古典文學, 2, 賴麗娟, 49, [4]5~6, 領域通識, 
22, 先秦兩漢儒家思想, 2, 林美惠, 47, [4]3~4, 領域通識, 
23, 女性文學選讀, 2, 賴麗娟, 70, [4]3~4, 領域通識, 
24, 中國哲學概論, 2, 陳弘學, 127, [4]5~6, 領域通識, 
25, 戲劇製作, 2, 林幸慧 秦嘉嫄 顧　盼 李欣怡, 56, [5]7~8, 密集授課，工作坊形式進行，第1週與第18週需至課堂教室上課，餘上課時間為106年10月14日至10月24日週末，詳參大綱;領域通識, 
26, 歷史通論, 2, 蔡幸娟, 70, [5]7~8, 過去與現代的對話,104學年度(含)以前入學生為「公民與歷史」, 
27, 哲學思考系列講座 –我是誰？誰是我？, 0.5, 甘偵蓉 林從一, 額滿, 未定, 密集授課。星期二  9/19(晚間6-9點)、09/26(晚間6-9點)、10/03(晚間6-9點)  光復校區國際會議廳第二演講室, 
28, 哲學思考系列講座 – 心靈是怎麼一回事？, 0.5, 甘偵蓉 林從一, 72, 未定, 密集授課。10/11(晚上6-9點)、10/17(晚上6-9點)、10/24(晚上6-9點), 
29, 哲學思考系列講座–我有自由、有選擇嗎？, 0.5, 甘偵蓉 林從一, 72, 未定, 密集授課。星期二  10/31(晚間6-9點)、11/07(晚間6-9點)、11/14(晚間6-9點), 
30, 哲學思考系列講座–我怎麼做才對？, 0.5, 甘偵蓉 林從一, 72, 未定, 密集授課。星期二  11/21(晚間6-9點)、11/28(晚間6-9點)、12/05(晚間6-9點), 
31, 哲學思考系列講座－正不正義有關係嗎？, 0.5, 甘偵蓉 林從一, 72, 未定, 密集授課。星期二  12/12(晚間6-9點)、12/19(晚間6-9點)、12/26(晚間6-9點), 
32, 哲學思考系列講座–科學真的可靠嗎？, 0.5, 甘偵蓉 林從一, 72, 未定, 密集授課。106/10/18(晚間6-9點)、106/10/25(晚間6-9點)、106/11/01(晚間6-9點), 
